Ticker,Date
MA,05/02/2018
MA,01/31/2018
MA,10/31/2017
MA,07/27/2017
MA,05/02/2017
MA,01/31/2017
MA,10/28/2016
MA,07/28/2016
MA,04/28/2016
MA,01/29/2016
MA,10/29/2015
MA,07/29/2015
MA,04/29/2015
MA,01/30/2015
V,01/29/2021
V,10/28/2020
V,07/28/2020
V,04/30/2020
V,01/30/2020
V,10/24/2019
V,07/23/2019
V,04/24/2019
V,01/30/2019
V,10/24/2018
V,07/25/2018
V,04/25/2018
V,02/01/2018
V,10/25/2017
V,07/20/2017
V,04/20/2017
V,02/02/2017
V,10/24/2016
V,07/21/2016
V,04/21/2016
V,01/28/2016
V,11/02/2015
V,07/23/2015
V,04/30/2015
V,01/29/2015
QCOM,01/29/2021
QCOM,11/04/2020
QCOM,07/29/2020
QCOM,04/29/2020
QCOM,01/30/2020
QCOM,11/06/2019
QCOM,07/31/2019
QCOM,05/01/2019
QCOM,01/30/2019
QCOM,11/07/2018
QCOM,07/25/2018
QCOM,04/25/2018
QCOM,01/31/2018
QCOM,11/01/2017
QCOM,07/19/2017
QCOM,04/19/2017
QCOM,01/25/2017
QCOM,11/02/2016
QCOM,07/20/2016
QCOM,04/20/2016
QCOM,01/27/2016
QCOM,11/04/2015
QCOM,07/22/2015
QCOM,04/22/2015
QCOM,01/28/2015
BKNG,02/26/2021
BKNG,11/05/2020 16:00 EST
BKNG,08/06/2020 16:00 EDT
BKNG,05/07/2020 16:00 EDT
BKNG,02/26/2020 16:00 EST
BKNG,11/07/2019
BKNG,08/07/2019
BKNG,05/09/2019
BKNG,02/27/2019
BKNG,11/05/2018
BKNG,08/08/2018
BKNG,05/09/2018
BKNG,02/27/2018
BKNG,11/06/2017
BKNG,08/08/2017
BKNG,05/09/2017
BKNG,02/27/2017
BKNG,11/07/2016
BKNG,08/04/2016
BKNG,05/04/2016
BKNG,02/17/2016
BKNG,11/09/2015
BKNG,08/05/2015
BKNG,05/07/2015
BKNG,02/19/2015
TXN,01/22/2021
TXN,10/20/2020
TXN,07/21/2020
TXN,04/21/2020
TXN,01/22/2020
TXN,10/22/2019
TXN,07/23/2019
TXN,04/23/2019
TXN,01/23/2019
TXN,10/23/2018
TXN,07/24/2018
TXN,04/24/2018
TXN,01/23/2018
TXN,10/24/2017
TXN,07/25/2017
TXN,04/25/2017
TXN,01/24/2017
TXN,10/26/2016
TXN,07/25/2016
TXN,04/27/2016
TXN,01/27/2016
TXN,10/21/2015
TXN,07/22/2015
TXN,04/22/2015
TXN,01/26/2015
FISV,02/04/2021
FISV,10/27/2020
FISV,08/05/2020
FISV,05/07/2020
FISV,02/04/2020
FISV,11/06/2019
FISV,07/25/2019
FISV,04/30/2019
FISV,02/07/2019
FISV,10/31/2018
FISV,07/31/2018
FISV,05/01/2018
FISV,02/07/2018
FISV,10/31/2017
FISV,08/01/2017
FISV,04/26/2017
FISV,02/08/2017
FISV,10/26/2016
FISV,08/02/2016
FISV,05/05/2016
FISV,02/02/2016
FISV,10/27/2015
FISV,07/29/2015
FISV,05/05/2015
FISV,02/03/2015
INTU,11/19/2020
INTU,08/25/2020
INTU,05/21/2020
INTU,02/24/2020
INTU,11/21/2019
INTU,08/22/2019
INTU,05/23/2019
INTU,02/21/2019
INTU,11/19/2018
INTU,08/23/2018
INTU,05/22/2018
INTU,02/22/2018
INTU,11/20/2017
INTU,08/22/2017
INTU,05/23/2017
INTU,02/23/2017
INTU,11/17/2016
INTU,08/23/2016
INTU,05/24/2016
INTU,11/19/2015
INTU,08/20/2015
INTU,05/21/2015
INTU,02/19/2015
INTU,11/20/2014
INTU,08/21/2014
ADP,01/29/2021
ADP,10/28/2020
ADP,07/29/2020
ADP,04/29/2020
ADP,01/29/2020
ADP,10/30/2019
ADP,07/31/2019
ADP,05/01/2019
ADP,01/30/2019
ADP,10/31/2018
ADP,08/01/2018
ADP,05/02/2018
ADP,01/31/2018
ADP,11/02/2017
ADP,07/27/2017
ADP,05/03/2017
ADP,02/01/2017
ADP,11/02/2016
ADP,07/28/2016
ADP,04/28/2016
ADP,02/03/2016
ADP,10/28/2015
ADP,07/30/2015
ADP,04/30/2015
ADP,02/04/2015
CME,02/12/2021
CME,10/28/2020 06:00 CDT
CME,07/29/2020 06:00 CDT
CME,04/29/2020 06:00 CDT
CME,02/12/2020 06:00 CST
CME,10/30/2019 06:00 CDT
CME,07/31/2019
CME,05/01/2019
CME,02/14/2019
CME,10/25/2018
CME,07/26/2018
CME,04/26/2018
CME,02/01/2018
CME,10/26/2017
CME,08/01/2017
CME,04/27/2017
CME,02/02/2017
CME,10/27/2016
CME,07/28/2016
CME,04/28/2016
CME,02/05/2016
CME,10/29/2015
CME,07/30/2015
CME,04/30/2015
CME,02/05/2015
JNJ,01/22/2021
JNJ,10/13/2020
JNJ,07/16/2020
JNJ,04/14/2020 06:45 EDT
JNJ,01/22/2020
JNJ,10/15/2019
JNJ,07/16/2019
